title,sale_price,item_sold,likes,shop_rating,discount_pct,category,brand,product_short_link,opportunity_score
SUPERMOM l I’M A TRIO PALETTE (ไอม อะ ทรีโอ พาเลตต์) พาเลตต์ 3 สไตล์ในตลับเดียว ขนาด 4.5กรัม*3,390.0,662.0,22752.0,4.95,34.0,Face,Supermom(ซุปเปอร์มัม),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F422755086%2F20661561351,3830.9
"MAYBELLINE INSTANT AGE REWIND CONCEALER เมย์เบลลีน คอนซีลเลอร์ อินสแตนท์ เอจ รีไวนด์ (เครื่องสำอาง,ปกปิด, ใต้ตาคล้ำ)",327.0,306.0,23639.0,4.91,24.0,Face,Maybelline,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F29668843%2F1426935547,3818.85
SRICHAND กันแดดสกินแคร์ สูตรคุมมันคุมสิว ซันลูชั่น แอคเน่ แคร์ ซันสกรีน เอสพีเอฟ 50+ พีเอ++++ ขนาด 40 มล.,169.0,1943.0,18264.0,4.94,43.0,Face Sunscreen,Srichand(ศรีจันทร์),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F80699995%2F18972120167,3671.6
ซื้อ1แถม1 คอลซีลเลอร์ยางลบ แบบซอง 2g KAGE FLUFFY CLOUDCONCEALER & CORRECTOR คอลซีลเลอร์เนื้อบางเบา,79.0,2303.0,16918.0,4.9,60.0,Face,Kage(คาเกะ),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F897244389%2F27162796858,3614.45
ถูก/แท้/มีไลฟ์ (ตลับจริง&Refill) คุชชั่น คูชั่น Charmiss Charming Glow Airy Cushion SPF50+ PA++++ ชาร์มิส,165.0,19.0,22725.0,4.9,50.0,Face,Charmiss,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F15147300%2F16895410801,3570.7
CARSLAN แป้งฝุ่นคุมมัน1.0 24H แป้งเนื้อแมทท์ ติดทนนาน ไม่หลุดง่าย ควบคุมความมันทั้งวัน แป้งพาวเดอร์ 8g,463.0,2086.0,15036.0,4.93,25.0,Face,Carslan,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F1304145342%2F27207771723,3241.6
[ช้อปครบ รับฟรี] Dr.PONG Acne ACE Super Soft Powder Puff  | พัพแป้งอัดแข็งสำรอง*สำหรับแพ็คเก็จรุ่นเก่า* Dr.PONG ACNE ACE,28.0,673.0,18642.0,4.92,72.0,Face,Dr.Pong(ด็อกเตอร์พงศ์),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F6583190%2F21462338090,3223.75
DIVYNE Pink Superfruit Mask 70g มาส์กหน้า มาส์กผสมสดลดสิว สิวอุดตัน ผิวมัน,990.0,680.0,18535.0,4.92,17.0,Face Mask & Packs,Divyne(ดีวีนี),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F357678589%2F9704142369,3202.4
[กันแดดข้าว เนื้อครีมมี่]  Beauty of Joseon Relief Sun: Rice + Probiotics 50ml.,950.0,1457.0,16329.0,4.95,50.0,Face Sunscreen,Beauty of Joseon(บิวตี้ ออฟ โชชอน),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F1093143942%2F23583728706,3188.15
CNRSIAA Milk Mist Powder Blush บลัชออนเนื้อฝุ่น เนียนนุ่ม ติดทน สีสวยเป็นธรรมชาติ B195,56.0,4962.0,6138.0,4.82,74.0,Face,NoBrand,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F1265018458%2F46402989648,3061.5
